iter	RMSE
0	4413890.28
1	4258213.408
2	4113934.843
3	3983658.02
4	3862100.231
5	3751005.228
6	3651350.268
7	3555008.245
8	3467808.761
9	3389005.67
10	3315579.16
11	3249748.702
12	3186955.958
13	3131890.897
14	3083137.869
15	3038516.897
16	2997042.651
17	2957771.662
18	2922209.592
19	2890541.828
20	2859345.461
21	2831316.465
22	2808719.889
23	2785749.173
24	2764067.687
25	2745681.998
26	2725536.637
27	2709499.51
28	2693113.912
29	2680328.925
30	2667564.392
31	2654583.224
32	2644367.891
33	2634683.707
34	2625644.893
35	2616354.103
36	2606410.872
37	2598726.175
38	2592333.874
39	2586300.099
40	2579642.385
41	2574169.685
42	2569591.675
43	2561997.405
44	2554851.985
45	2548247.182
46	2543570.546
47	2537913.366
48	2533386.018
49	2528584.754
50	2525170.793
51	2520868.175
52	2517183.056
53	2514404.333
54	2509656.681
55	2507740.927
56	2504972.109
57	2502678.898
58	2500183.504
59	2496130.14
60	2493352.893
61	2489436.637
62	2486336.888
63	2482539.536
64	2479471.231
65	2477472.579
66	2475174.853
67	2473512.708
68	2471196.173
69	2469694.336
70	2468062.315
71	2466197.069
72	2464732.467
73	2462874.897
74	2460663.198
75	2457185.92
76	2455017.04
77	2453090.123
78	2450769.995
79	2448625.618
80	2448332.593
81	2446540.263
82	2444938.343
83	2442914.601
84	2441691.568
85	2440831.377
86	2439178.829
87	2438161.4
88	2437177.994
89	2436184.808
90	2433884.775
91	2433055.061
92	2431608.581
93	2429767.422
94	2429050.211
95	2427337.053
96	2425024.832
97	2422548.212
98	2420858.736
99	2419814.078
100	2417778.076
101	2415975.416
102	2414505.617
103	2413122.57
104	2412020.219
105	2411133.293
106	2409189.973
107	2407602.113
108	2407031.912
109	2405658.449
110	2404659.207
111	2403547.874
112	2401485.494
113	2400164.705
114	2399137.188
115	2397948.09
116	2395789.266
117	2395007.28
118	2394558.355
119	2393632.299
120	2392711.122
121	2390872.687
122	2389370.772
123	2388350.72
124	2387227.298
125	2386226.829
126	2384154.201
127	2382582.875
128	2379525.605
129	2377982.202
130	2377053.391
131	2375998.168
132	2373966.274
133	2372204.677
134	2370415.36
135	2369857.588
136	2368652.488
137	2367251.012
138	2365493.644
139	2363493.953
140	2362777.312
141	2362619.172
142	2361945.872
143	2361275.759
144	2359408.664
145	2358519.636
146	2357700.876
147	2355939.764
148	2354529.4
149	2353382.054
150	2351869.734
151	2351111.243
152	2350164.323
153	2349286.424
154	2347860.513
155	2347230.937
156	2346236.481
157	2344951.73
158	2344029.459
159	2343309.13
160	2341784.341
161	2340509.906
162	2339879.604
163	2338715.497
164	2337644.843
165	2336199.644
166	2335138.851
167	2334428.519
168	2332756.962
169	2331963.383
170	2330891.499
171	2329703.667
172	2328868.872
173	2328183.644
174	2327023.279
175	2325838.82
176	2325314.953
177	2324502.541
178	2323466.979
179	2322414.203
180	2320768.494
181	2318902.877
182	2318297.728
183	2317402.305
184	2316040.34
185	2314397.455
186	2312470.551
187	2311151.709
188	2310618.094
189	2309537.341
190	2308193.122
191	2307439.461
192	2306513.003
193	2305624.835
194	2304442.743
195	2303130.236
196	2302245.142
197	2301487.422
198	2300346.596
199	2298946.994
200	2297791.493
201	2297104.466
202	2296165.508
203	2295189.907
204	2293676.366
205	2292695.741
206	2291879.267
207	2291023.546
208	2289980.308
209	2288916.389
210	2288296.315
211	2287026.361
212	2286174.206
213	2285098.529
214	2283943.258
215	2282576.95
216	2281459.3
217	2280487.682
218	2279803.448
219	2278630.374
220	2277543.028
221	2276007.47
222	2274688.533
223	2274027.907
224	2273073.142
225	2271670.937
226	2270539.677
227	2269746.996
228	2268535.477
229	2267332.953
230	2266747.152
231	2266114.871
232	2265186.551
233	2263857.284
234	2262930.219
235	2261517.127
236	2260408.609
237	2259528.182
238	2258142.768
239	2256522.387
240	2255938.586
241	2255428.358
242	2254643.783
243	2253147.041
244	2252335.633
245	2251020.297
246	2249424.433
247	2248725.146
248	2247428.496
249	2246297.076
250	2245516.719
251	2244309.397
252	2243488.035
253	2242327.544
254	2241416.037
255	2240020.348
256	2239098.781
257	2238132.548
258	2236772.808
259	2236212.558
260	2234941.561
261	2234073.423
262	2233151.22
263	2232101.792
264	2231099.37
265	2230098.497
266	2228994.249
267	2228096.186
268	2227198.999
269	2226359.808
270	2225190.73
271	2224692.24
272	2223857.262
273	2222977.167
274	2221924.509
275	2220828.369
276	2219626.826
277	2219018.351
278	2218155.333
279	2217121.386
280	2216226.182
281	2215198.705
282	2214102.346
283	2212713.775
284	2211600.937
285	2210616.699
286	2209677.487
287	2208730.703
288	2208022.807
289	2207233.172
290	2206160.047
291	2204652.311
292	2203781.807
293	2203248.17
294	2201636.77
295	2200926.085
296	2200020.032
297	2199685.877
298	2198830.6
299	2198172.878
300	2197043.1
301	2196363.247
302	2195007.124
303	2194036.662
304	2193250.446
305	2192634.841
306	2191628.445
307	2190414.765
308	2189628.623
309	2188998.028
310	2188160.493
311	2187093.371
312	2185450.468
313	2185011.603
314	2184516.51
315	2183292.467
316	2182544.111
317	2181841.164
318	2181085.856
319	2180526.509
320	2179514.765
321	2178789.497
322	2177590.247
323	2176415.168
324	2175614.952
325	2175089.934
326	2174731.353
327	2173911.628
328	2172964.693
329	2171863.849
330	2170984.265
331	2170473.262
332	2169726.957
333	2168859.113
334	2168100.223
335	2166914.345
336	2165586.056
337	2164243.625
338	2162981.226
339	2162231.812
340	2161308.794
341	2160280.584
342	2159733.402
343	2159340.052
344	2158670.066
345	2157560.397
346	2156885.347
347	2156027.826
348	2154873.747
349	2154197.763
350	2153429.619
351	2152534.676
352	2151712.316
353	2151095.288
354	2150509.845
355	2149749.605
356	2149116.896
357	2148013.527
358	2146907.665
359	2146125.202
360	2145109.206
361	2143846.411
362	2142681.763
363	2141994.877
364	2141509.88
365	2140976.225
366	2140275.567
367	2139094.232
368	2138508.832
369	2137891.854
370	2137004.47
371	2136151.334
372	2135439.97
373	2134548.906
374	2133842.587
375	2132943.771
376	2132155.406
377	2131138.754
378	2129951.452
379	2129322.866
380	2128624.531
381	2128078.444
382	2127189.926
383	2126492.711
384	2125739.362
385	2124609.794
386	2123892.983
387	2123273.973
388	2122447.752
389	2121756.332
390	2120943.506
391	2120100.827
392	2119070.689
393	2117966.07
394	2117294.987
395	2116702.682
396	2115627.517
397	2114596.34
398	2114158.185
399	2112924.03
400	2111794.494
401	2111092.145
402	2110249.303
403	2109583.394
404	2108670.822
405	2107868.55
406	2107019.971
407	2106245.13
408	2105661.487
409	2104728.118
410	2104067.079
411	2103518.51
412	2102979.619
413	2102328.27
414	2101750.98
415	2101312.828
416	2100432.311
417	2099829.29
418	2098908.116
419	2098078.864
420	2097287.011
421	2096479.044
422	2095667.46
423	2094662.948
424	2093634.628
425	2092947.316
426	2092111.964
427	2091472.766
428	2090865.601
429	2090064.809
430	2089332.606
431	2088663.029
432	2087715.014
433	2086910.808
434	2086049.874
435	2084958.64
436	2083912.026
437	2082643.812
438	2081649.585
439	2080432.083
440	2079532.823
441	2078414.335
442	2077464.927
443	2076782.197
444	2076184.631
445	2075513.17
446	2074991.138
447	2074301.853
448	2073624.249
449	2073247.108
450	2071960.596
451	2071487.798
452	2070601.295
453	2069930.431
454	2069439.595
455	2068728.568
456	2067874.778
457	2067265.707
458	2066033.885
459	2064901.44
460	2064212.773
461	2063757.35
462	2063111.7
463	2062557.34
464	2061696.562
465	2061143.841
