iter	Passed	Remaining
0	111	73499
1	216	71147
2	320	70190
3	424	69588
4	532	69623
5	635	69206
6	740	69009
7	844	68737
8	949	68601
9	1054	68420
10	1164	68592
11	1269	68420
12	1374	68326
13	1480	68204
14	1585	68085
15	1689	67911
16	1794	67781
17	1898	67624
18	2005	67538
19	2108	67371
20	2213	67252
21	2320	67178
22	2422	66975
23	2527	66878
24	2630	66713
25	2732	66537
26	2834	66359
27	2937	66203
28	3041	66066
29	3143	65904
30	3248	65804
31	3352	65683
32	3455	65551
33	3559	65432
34	3664	65330
35	3769	65231
36	3872	65096
37	3972	64924
38	4074	64780
39	4178	64657
40	4282	64546
41	4388	64468
42	4494	64380
43	4595	64235
44	4698	64102
45	4800	63970
46	4903	63855
47	5006	63724
48	5111	63627
49	5213	63503
50	5315	63363
51	5416	63221
52	5521	63130
53	5625	63022
54	5729	62918
55	5830	62786
56	5936	62702
57	6040	62587
58	6144	62482
59	6248	62377
60	6353	62281
61	6455	62158
62	6561	62069
63	6664	61958
64	6767	61841
65	6866	61695
66	6971	61598
67	7073	61479
68	7179	61385
69	7279	61255
70	7383	61145
71	7486	61033
72	7590	60928
73	7693	60817
74	7798	60721
75	7899	60600
76	8004	60500
77	8105	60373
78	8206	60246
79	8311	60156
80	8329	59437
81	8436	59361
82	8537	59244
83	8640	59147
84	8740	59023
85	8840	58899
86	8943	58799
87	9045	58692
88	9150	58606
89	9252	58497
90	9355	58394
91	9457	58289
92	9561	58189
93	9667	58108
94	9773	58021
95	9876	57923
96	9981	57832
97	10088	57754
98	10198	57687
99	10304	57604
100	10415	57543
101	10525	57476
102	10629	57380
103	10734	57284
104	10840	57197
105	10944	57096
106	11050	57008
107	11160	56937
108	11265	56842
109	11371	56753
110	11477	56665
111	11581	56565
112	11689	56482
113	11791	56371
114	11896	56273
115	12000	56172
116	12105	56078
117	12210	55980
118	12317	55894
119	12422	55795
120	12528	55705
121	12636	55622
122	12742	55527
123	12849	55437
124	12954	55339
125	13059	55241
126	13166	55155
127	13273	55062
128	13381	54976
129	13485	54876
130	13589	54773
131	13694	54673
132	13803	54592
133	13912	54508
134	14017	54409
135	14118	54295
136	14221	54188
137	14324	54078
138	14426	53969
139	14530	53867
140	14633	53760
141	14697	53512
142	14803	53418
143	14909	53321
144	15013	53219
145	15114	53109
146	15214	52991
147	15318	52891
148	15421	52785
149	15527	52690
150	15631	52586
151	15735	52485
152	15836	52373
153	15939	52268
154	16040	52158
155	16143	52052
156	16245	51944
157	16351	51848
158	16451	51734
159	16555	51632
160	16656	51521
161	16758	51414
162	16857	51297
163	16957	51181
164	17059	51074
165	17161	50966
166	17262	50858
167	17365	50751
168	17470	50654
169	17572	50546
170	17678	50450
171	17780	50343
172	17883	50238
173	17985	50131
174	18085	50018
175	18184	49902
176	18284	49792
177	18387	49687
178	18489	49579
179	18595	49483
180	18702	49392
181	18809	49297
182	18912	49192
183	19013	49084
184	19116	48978
185	19223	48885
186	19326	48780
187	19433	48686
188	19534	48578
189	19637	48472
190	19742	48373
191	19846	48272
192	19947	48163
193	20050	48059
194	20153	47953
195	20254	47845
196	20354	47734
197	20458	47632
198	20561	47528
199	20665	47428
200	20768	47323
201	20870	47216
202	20970	47106
203	21073	47003
204	21174	46894
205	21276	46786
206	21377	46679
207	21484	46583
208	21588	46482
209	21694	46384
210	21797	46281
211	21901	46179
212	22002	46070
213	22106	45968
214	22207	45862
215	22311	45758
216	22418	45662
217	22521	45559
218	22626	45460
219	22731	45360
220	22838	45263
221	22942	45162
222	23048	45063
223	23155	44967
224	23262	44870
225	23380	44795
226	23521	44764
227	23629	44667
228	23732	44563
229	23836	44459
230	23939	44354
231	24044	44253
232	24148	44151
233	24252	44048
234	24355	43944
235	24477	43872
236	24581	43770
237	24686	43667
238	24791	43566
239	24895	43462
240	24999	43359
241	25104	43258
242	25209	43156
243	25314	43056
244	25418	42952
245	25535	42870
246	25636	42762
247	25736	42652
248	25838	42545
249	25940	42437
250	26041	42330
251	26146	42229
252	26250	42125
253	26354	42021
254	26454	41912
255	26558	41809
256	26661	41704
257	26765	41600
258	26864	41490
259	26966	41383
260	27067	41275
261	27169	41169
262	27273	41065
263	27377	40963
264	27483	40861
265	27586	40757
266	27690	40654
267	27794	40551
268	27896	40444
269	27999	40339
270	28100	40232
271	28205	40130
272	28308	40026
273	28412	39922
274	28513	39815
275	28616	39710
276	28720	39606
277	28824	39503
278	28924	39395
279	29026	39289
280	29128	39183
281	29233	39081
282	29336	38976
283	29453	38891
284	29557	38788
285	29662	38685
286	29764	38580
287	29869	38477
288	29970	38370
289	30072	38265
290	30174	38158
291	30276	38053
292	30379	37948
293	30487	37850
294	30597	37753
295	30703	37652
296	30807	37550
297	30910	37445
298	31014	37342
299	31120	37241
300	31223	37136
301	31325	37030
302	31427	36925
303	31530	36819
304	31631	36713
305	31734	36608
306	31837	36504
307	31941	36400
308	32043	36295
309	32146	36191
310	32248	36085
311	32349	35978
312	32457	35879
313	32558	35773
314	32659	35666
315	32761	35560
316	32862	35453
317	32961	35345
318	33062	35239
319	33163	35132
320	33269	35030
321	33370	34924
322	33475	34823
323	33582	34722
324	33690	34623
325	33793	34519
326	33898	34416
327	34002	34313
328	34111	34215
329	34216	34113
330	34321	34010
331	34423	33905
332	34528	33802
333	34630	33697
334	34735	33594
335	34834	33487
336	34937	33382
337	35041	33279
338	35143	33173
339	35242	33065
340	35342	32958
341	35447	32856
342	35549	32751
343	35651	32646
344	35752	32540
345	35851	32431
346	35950	32324
347	36050	32217
348	36149	32110
349	36253	32006
350	36356	31902
351	36456	31795
352	36558	31691
353	36664	31589
354	36767	31485
355	36869	31380
356	36973	31277
357	37078	31174
358	37183	31072
359	37284	30966
360	37387	30862
361	37490	30758
362	37591	30653
363	37696	30551
364	37796	30444
365	37895	30337
366	37996	30231
367	38096	30125
368	38198	30020
369	38300	29916
